sentence1,sentence2,similarity
Một nhóm trẻ em đang chơi trong sân và một ông già đang đứng ở phía sau,Một nhóm con trai đang chơi trong sân và một người đàn ông đang đứng ở phía sau,0.9
Một nhóm trẻ em đang chơi trong nhà và không có người đàn ông nào đứng ở phía sau,Một nhóm trẻ em đang chơi trong sân và một ông già đang đứng ở phía sau,0.64
Những cậu bé đang chơi ngoài trời và người đàn ông đang mỉm cười gần đó,Những đứa trẻ đang chơi ngoài trời gần một người đàn ông với nụ cười,0.94
Những đứa trẻ đang chơi ngoài trời gần một người đàn ông với nụ cười,Một nhóm trẻ em đang chơi trong sân và một ông già đang đứng ở phía sau,0.68
Những cậu bé đang chơi ngoài trời và người đàn ông đang mỉm cười gần đó,Một nhóm trẻ em đang chơi trong sân và một ông già đang đứng ở phía sau,0.74
Hai con chó đang đánh nhau,Hai con chó đang vật lộn và ôm nhau,0.8
Một con chó nâu đang tấn công một con vật khác trước mặt người đàn ông mặc quần,Hai con chó đang đánh nhau,0.7
Một con chó nâu đang tấn công một con vật khác trước mặt người đàn ông mặc quần,Hai con chó đang vật lộn và ôm nhau,0.64
Không ai đi xe đạp trên một bánh xe,Một người mặc áo khoác đen đang biểu diễn các động tác trên xe máy,0.56
Một người đang đi xe đạp trên một bánh xe,Một người đàn ông mặc áo khoác đen đang biểu diễn các động tác trên xe máy,0.74
Một người trên chiếc xe máy màu đen đang biểu diễn các động tác với chiếc áo khoác,Một người đang đi xe đạp trên một bánh xe,0.68
Một người đàn ông mặc áo đấu đang úp rổ trong một trận bóng rổ,Quả bóng đang được một người đàn ông mặc áo đấu úp rổ trong một trận bóng rổ,0.98
Một người đàn ông mặc áo đấu đang úp rổ trong một trận bóng rổ,Một người đàn ông đang chơi bóng rổ vào lưới và một đám đông đang ở phía sau,0.72
Người chơi đang úp rổ vào lưới và có một đám đông ở phía sau,Một người đàn ông mặc áo đấu đang úp rổ trong một trận bóng rổ,0.76
Hai người đang tập kickboxing và khán giả không xem,Hai người đang tập kickboxing và khán giả đang theo dõi,0.68
Hai cô gái trẻ đang đấu võ kickboxing,Hai người phụ nữ đang đấu tập trong một trận đấu kickboxing,0.98
Hai cô gái trẻ không đấu tập trong một trận đấu kickboxing,Hai người phụ nữ đang đấu tập trong một trận đấu kickboxing,0.78
Hai người đang tập kickboxing và khán giả đang theo dõi,Hai cô gái trẻ không đấu tập trong một trận đấu kickboxing,0.683
Hai người phụ nữ đang đấu tập trong một trận đấu kickboxing,Hai người đang tập kickboxing và khán giả không xem,0.74
Ba cậu bé đang nhảy trong lá,Ba đứa trẻ đang nhảy trong lá,0.88
Ba đứa trẻ đang ngồi trên lá,Ba đứa trẻ đang nhảy trong lá,0.76
Những đứa trẻ mặc áo đỏ đang chơi đùa giữa những chiếc lá,Ba đứa trẻ đang ngồi trên lá,0.7
Những đứa trẻ mặc áo đỏ đang chơi đùa giữa những chiếc lá,Ba đứa trẻ đang nhảy trong lá,0.8
Hai thiên thần đang làm tuyết rơi trên những đứa trẻ đang nằm,Hai đứa trẻ đang nằm trong tuyết và đang làm thiên thần tuyết,0.58
Hai đứa trẻ đang nằm trên tuyết và đang vẽ thiên thần,Hai người mặc đồ trượt tuyết đang nằm trên tuyết và tạo hình thiên thần tuyết,0.82
Hai người mặc đồ trượt tuyết đang nằm trên tuyết và tạo hình thiên thần tuyết,Hai thiên thần đang làm tuyết rơi trên những đứa trẻ đang nằm,0.5
Hai đứa trẻ đang nằm trong tuyết và đang làm thiên thần tuyết,Hai người mặc đồ trượt tuyết đang nằm trên tuyết và tạo hình thiên thần tuyết,0.84
Mọi người mặc trang phục đang tụ tập trong rừng và cùng nhìn về một hướng,Những người đeo mặt nạ đang nhìn về cùng một hướng trong một khu rừng,0.88
Mọi người mặc trang phục đang tụ tập trong rừng và cùng nhìn về một hướng,Mọi người mặc trang phục đang tản ra trong rừng và nhìn về nhiều hướng khác nhau,0.64
Mọi người đang nhìn vào một số trang phục được tập hợp ở gần khu rừng,Mọi người mặc trang phục đang tụ tập trong rừng và cùng nhìn về một hướng,0.727
Một cô bé đang nhìn một người phụ nữ trong trang phục hóa trang,Mọi người mặc trang phục đang tản ra trong rừng và nhìn về nhiều hướng khác nhau,0.48
Một cô bé đang nhìn một người phụ nữ trong trang phục hóa trang,Mọi người đang nhìn vào một số trang phục được tập hợp ở gần khu rừng,0.52
Một cô gái trẻ đang nhìn một người phụ nữ trong trang phục hóa trang,Mọi người mặc trang phục đang tụ tập trong rừng và cùng nhìn về một hướng,0.44
Mọi người mặc trang phục đang tụ tập trong rừng và cùng nhìn về một hướng,Cô bé đang nhìn một người đàn ông trong trang phục hóa trang,0.6
Mọi người mặc trang phục đang tụ tập trong rừng và cùng nhìn về một hướng,Một cô bé mặc trang phục trông giống như một người phụ nữ,0.4
Một người đi xe đạp đơn độc đang nhảy lên không trung,"Một người đi xe đạp đang nhảy lên không trung, một mình",1
Không có người đi xe đạp nào nhảy trên không trung,Một người đi xe đạp đơn độc đang nhảy lên không trung,0.84
Một người đàn ông đang nhảy xuống một hồ bơi trống rỗng,Một người đàn ông đang nhảy vào một hồ bơi đầy nước,0.6
Một người đàn ông đang nhảy xuống một hồ bơi trống rỗng,Áo len của người đàn ông đang ở trong hồ bơi trống rỗng,0.62
Một người đi xe đạp đơn độc đang nhảy lên không trung,Một người đàn ông đang nhảy vào một hồ bơi đầy nước,0.34
Áo len của người đàn ông đang ở trong hồ bơi trống rỗng,Một người đi xe đạp đơn độc đang nhảy lên không trung,0.28
Một người đi xe đạp đơn độc đang nhảy lên không trung,Một người đàn ông đang nhảy xuống một hồ bơi trống rỗng,0.3
Bốn đứa trẻ đang tập uốn lưng trong công viên,Bốn đứa trẻ đang tập uốn lưng trong công viên,0.96
Bốn đứa trẻ đang tập uốn lưng trong phòng tập thể dục,Bốn đứa trẻ đang tập uốn lưng trong công viên,0.76
Bốn cô gái đang uốn lưng và chơi trong vườn,Bốn cô gái đang uốn lưng và chơi ngoài trời,0.82
Một người đàn ông đang chơi đang chạy với quả bóng trên tay,Một cầu thủ đang chạy với quả bóng,0.86
Hai nhóm người đang chơi bóng đá,Một cầu thủ đang chạy với quả bóng,0.42
Hai đội đang thi đấu trong một trận bóng chày,Một cầu thủ đang chạy với quả bóng,0.6
Một cầu thủ đang chạy với quả bóng,Hai đội đang thi đấu trong một trận bóng đá,0.52
Có năm giá gỗ ở phía trước mỗi túp lều của trẻ em,Năm đứa trẻ đang đứng trước một túp lều gỗ,0.64
Năm đứa trẻ đứng gần nhau và một đứa trẻ có súng,Năm đứa trẻ đang đứng gần nhau và không đứa trẻ nào có súng,0.74
Năm đứa trẻ đang đứng gần nhau và không đứa trẻ nào có súng,Năm đứa trẻ đang đứng trước một túp lều gỗ,0.52
Năm đứa trẻ đang đứng trong một túp lều gỗ,Năm đứa trẻ đứng gần nhau và một đứa trẻ có súng,0.54
Có năm giá gỗ ở phía trước mỗi túp lều của trẻ em,Năm đứa trẻ đứng gần nhau và một đứa trẻ có súng,0.46
Một ông già đang ngồi trên cánh đồng,Một người đàn ông đang ngồi trên một cánh đồng,0.88
Một người đàn ông đang ngồi trên một cánh đồng,Một người đàn ông đang chạy trên một cánh đồng,0.52
Một người đang đội mũ và đang ngồi trên cỏ,Một người đang ngồi trên cánh đồng và đang đội mũ,0.82
Một người đang ngồi và đội một chiếc mũ cỏ,Một người đang đội mũ và đang ngồi trên cỏ,0.68
Một người đang ngồi và đội một chiếc mũ cỏ,Một người đàn ông đang ngồi trên một cánh đồng,0.66
Một người đàn ông đang ngồi trên một cánh đồng,Một người đang đội mũ và đang ngồi trên cỏ,0.76
Dòng nước đang được một nhóm bạn chèo trên bè,Một nhóm bạn đang chèo thuyền trên dòng nước,0.98
Một nhóm bạn đang chèo thuyền trên dòng nước,Một nhóm không đi theo dòng nước trên bè,0.74
Dòng nước đang được một nhóm bạn chèo trên bè,Nhóm người này đang thực hành an toàn dưới nước và mặc đồ bảo hộ,0.64
Một nhóm bạn đang chèo thuyền trên dòng nước,Nhóm người này đang thực hành an toàn dưới nước và mặc đồ bảo hộ,0.62
Một con nai đang nhảy qua hàng rào,Con nai không nhảy qua hàng rào,0.78
Mọi người đang đi bộ bên trong một tòa nhà có nhiều bức tranh tường trên đó,Mọi người đang đi bộ bên ngoài một tòa nhà có nhiều bức tranh tường,0.68
Một số người đang ở trước một tòa nhà đầy màu sắc,Không có ai ở trước tòa nhà đầy màu sắc,0.7
Mọi người đang đi bộ bên ngoài một tòa nhà có nhiều bức tranh tường,Không có ai ở trước tòa nhà đầy màu sắc,0.72
Mọi người đang đi bộ bên ngoài tòa nhà có nhiều bức tranh tường,Một số người đang ở trước một tòa nhà đầy màu sắc,0.72
Một gia đình đang xem một cậu bé đang đánh bóng chày,Một gia đình đang trông chừng một cậu bé bị mất một quả bóng chày,0.78
Một đứa trẻ đang đánh bóng chày,Một gia đình đang trông chừng một cậu bé bị mất một quả bóng chày,0.603
Một đứa trẻ bị mất một quả bóng chày,Một gia đình đang xem một cậu bé đang đánh bóng chày,0.54
Một đám đông màu tím đang ăn trên những chiếc bàn trong nhà hàng được thắp sáng bằng đèn đỏ,Nhiều người đang ăn ở những chiếc bàn màu đỏ trong một nhà hàng đông đúc với ánh đèn màu tím,0.66
Một nhóm lớn người Châu Á đang ăn ở một nhà hàng,Nhiều khách hàng đang ăn trong một nhà hàng đông đúc với đèn màu tím,0.58
Một đám đông màu tím đang ăn trên những chiếc bàn trong nhà hàng được thắp sáng bằng đèn đỏ,Một nhóm lớn người Châu Á đang ăn ở một nhà hàng,0.62
Nhiều người đang ăn ở những chiếc bàn màu đỏ trong một nhà hàng đông đúc với ánh đèn màu tím,Một nhóm nhỏ người đang chờ ăn trong một nhà hàng,0.64
Một người lái xe máy đang đứng trên yên xe máy màu trắng,Không có người lái xe máy nào đứng trên yên xe máy,0.76
Không có ai ngồi trên xe máy và đứng trên ghế,Có người đang ngồi trên chiếc xe máy màu đen và trắng và đang đứng trên ghế,0.74
Một người lái xe máy đang lái xe máy một cách nguy hiểm trên đường,Một người đi xe máy đang lái xe máy dọc theo một con đường,0.92
