sentence1	sentence2	similarity
M?t nh¢m tr? em ?ang ch?i trong sÉn vÖ m?t ìng giÖ ?ang ??ng ? ph°a sau	M?t nh¢m con trai ?ang ch?i trong sÉn vÖ m?t ng??i ?Ön ìng ?ang ??ng ? ph°a sau	0.9
M?t nh¢m tr? em ?ang ch?i trong nhÖ vÖ khìng c¢ ng??i ?Ön ìng nÖo ??ng ? ph°a sau	M?t nh¢m tr? em ?ang ch?i trong sÉn vÖ m?t ìng giÖ ?ang ??ng ? ph°a sau	0.64
Nh?ng c?u bÇ ?ang ch?i ngoÖi tr?i vÖ ng??i ?Ön ìng ?ang m?m c??i g?n ?¢	Nh?ng ??a tr? ?ang ch?i ngoÖi tr?i g?n m?t ng??i ?Ön ìng v?i n? c??i	0.94
Nh?ng ??a tr? ?ang ch?i ngoÖi tr?i g?n m?t ng??i ?Ön ìng v?i n? c??i	M?t nh¢m tr? em ?ang ch?i trong sÉn vÖ m?t ìng giÖ ?ang ??ng ? ph°a sau	0.68
Nh?ng c?u bÇ ?ang ch?i ngoÖi tr?i vÖ ng??i ?Ön ìng ?ang m?m c??i g?n ?¢	M?t nh¢m tr? em ?ang ch?i trong sÉn vÖ m?t ìng giÖ ?ang ??ng ? ph°a sau	0.74
Hai con ch¢ ?ang ?†nh nhau	Hai con ch¢ ?ang v?t l?n vÖ ìm nhau	0.8
M?t con ch¢ nÉu ?ang t?n cìng m?t con v?t kh†c tr??c m?t ng??i ?Ön ìng m?c qu?n	Hai con ch¢ ?ang ?†nh nhau	0.7
M?t con ch¢ nÉu ?ang t?n cìng m?t con v?t kh†c tr??c m?t ng??i ?Ön ìng m?c qu?n	Hai con ch¢ ?ang v?t l?n vÖ ìm nhau	0.64
Khìng ai ?i xe ??p tràn m?t b†nh xe	M?t ng??i m?c †o kho†c ?en ?ang bi?u di?n c†c ??ng t†c tràn xe m†y	0.56
M?t ng??i ?ang ?i xe ??p tràn m?t b†nh xe	M?t ng??i ?Ön ìng m?c †o kho†c ?en ?ang bi?u di?n c†c ??ng t†c tràn xe m†y	0.74
M?t ng??i tràn chi?c xe m†y mÖu ?en ?ang bi?u di?n c†c ??ng t†c v?i chi?c †o kho†c	M?t ng??i ?ang ?i xe ??p tràn m?t b†nh xe	0.68
M?t ng??i ?Ön ìng m?c †o ??u ?ang £p r? trong m?t tr?n b¢ng r?	Qu? b¢ng ?ang ???c m?t ng??i ?Ön ìng m?c †o ??u £p r? trong m?t tr?n b¢ng r?	0.98
M?t ng??i ?Ön ìng m?c †o ??u ?ang £p r? trong m?t tr?n b¢ng r?	M?t ng??i ?Ön ìng ?ang ch?i b¢ng r? vÖo l??i vÖ m?t ?†m ?ìng ?ang ? ph°a sau	0.72
Ng??i ch?i ?ang £p r? vÖo l??i vÖ c¢ m?t ?†m ?ìng ? ph°a sau	M?t ng??i ?Ön ìng m?c †o ??u ?ang £p r? trong m?t tr?n b¢ng r?	0.76
Hai ng??i ?ang t?p kickboxing vÖ kh†n gi? khìng xem	Hai ng??i ?ang t?p kickboxing vÖ kh†n gi? ?ang theo d?i	0.68
Hai cì g†i tr? ?ang ??u v? kickboxing	Hai ng??i ph? n? ?ang ??u t?p trong m?t tr?n ??u kickboxing	0.98
Hai cì g†i tr? khìng ??u t?p trong m?t tr?n ??u kickboxing	Hai ng??i ph? n? ?ang ??u t?p trong m?t tr?n ??u kickboxing	0.78
Hai ng??i ?ang t?p kickboxing vÖ kh†n gi? ?ang theo d?i	Hai cì g†i tr? khìng ??u t?p trong m?t tr?n ??u kickboxing	0.683
Hai ng??i ph? n? ?ang ??u t?p trong m?t tr?n ??u kickboxing	Hai ng??i ?ang t?p kickboxing vÖ kh†n gi? khìng xem	0.74
Ba c?u bÇ ?ang nh?y trong l†	Ba ??a tr? ?ang nh?y trong l†	0.88
Ba ??a tr? ?ang ng?i tràn l†	Ba ??a tr? ?ang nh?y trong l†	0.76
Nh?ng ??a tr? m?c †o ?? ?ang ch?i ?óa gi?a nh?ng chi?c l†	Ba ??a tr? ?ang ng?i tràn l†	0.7
Nh?ng ??a tr? m?c †o ?? ?ang ch?i ?óa gi?a nh?ng chi?c l†	Ba ??a tr? ?ang nh?y trong l†	0.8
Hai thiàn th?n ?ang lÖm tuy?t r?i tràn nh?ng ??a tr? ?ang n?m	Hai ??a tr? ?ang n?m trong tuy?t vÖ ?ang lÖm thiàn th?n tuy?t	0.58
Hai ??a tr? ?ang n?m tràn tuy?t vÖ ?ang v? thiàn th?n	Hai ng??i m?c ?? tr??t tuy?t ?ang n?m tràn tuy?t vÖ t?o hçnh thiàn th?n tuy?t	0.82
Hai ng??i m?c ?? tr??t tuy?t ?ang n?m tràn tuy?t vÖ t?o hçnh thiàn th?n tuy?t	Hai thiàn th?n ?ang lÖm tuy?t r?i tràn nh?ng ??a tr? ?ang n?m	0.5
Hai ??a tr? ?ang n?m trong tuy?t vÖ ?ang lÖm thiàn th?n tuy?t	Hai ng??i m?c ?? tr??t tuy?t ?ang n?m tràn tuy?t vÖ t?o hçnh thiàn th?n tuy?t	0.84
M?i ng??i m?c trang ph?c ?ang t? t?p trong r?ng vÖ cóng nhçn v? m?t h??ng	Nh?ng ng??i ?eo m?t n? ?ang nhçn v? cóng m?t h??ng trong m?t khu r?ng	0.88
M?i ng??i m?c trang ph?c ?ang t? t?p trong r?ng vÖ cóng nhçn v? m?t h??ng	M?i ng??i m?c trang ph?c ?ang t?n ra trong r?ng vÖ nhçn v? nhi?u h??ng kh†c nhau	0.64
M?i ng??i ?ang nhçn vÖo m?t s? trang ph?c ???c t?p h?p ? g?n khu r?ng	M?i ng??i m?c trang ph?c ?ang t? t?p trong r?ng vÖ cóng nhçn v? m?t h??ng	0.727
M?t cì bÇ ?ang nhçn m?t ng??i ph? n? trong trang ph?c h¢a trang	M?i ng??i m?c trang ph?c ?ang t?n ra trong r?ng vÖ nhçn v? nhi?u h??ng kh†c nhau	0.48
M?t cì bÇ ?ang nhçn m?t ng??i ph? n? trong trang ph?c h¢a trang	M?i ng??i ?ang nhçn vÖo m?t s? trang ph?c ???c t?p h?p ? g?n khu r?ng	0.52
M?t cì g†i tr? ?ang nhçn m?t ng??i ph? n? trong trang ph?c h¢a trang	M?i ng??i m?c trang ph?c ?ang t? t?p trong r?ng vÖ cóng nhçn v? m?t h??ng	0.44
M?i ng??i m?c trang ph?c ?ang t? t?p trong r?ng vÖ cóng nhçn v? m?t h??ng	Cì bÇ ?ang nhçn m?t ng??i ?Ön ìng trong trang ph?c h¢a trang	0.6
M?i ng??i m?c trang ph?c ?ang t? t?p trong r?ng vÖ cóng nhçn v? m?t h??ng	M?t cì bÇ m?c trang ph?c trìng gi?ng nh? m?t ng??i ph? n?	0.4
M?t ng??i ?i xe ??p ??n ??c ?ang nh?y làn khìng trung	"M?t ng??i ?i xe ??p ?ang nh?y làn khìng trung, m?t mçnh"	1
Khìng c¢ ng??i ?i xe ??p nÖo nh?y tràn khìng trung	M?t ng??i ?i xe ??p ??n ??c ?ang nh?y làn khìng trung	0.84
M?t ng??i ?Ön ìng ?ang nh?y xu?ng m?t h? b?i tr?ng r?ng	M?t ng??i ?Ön ìng ?ang nh?y vÖo m?t h? b?i ??y n??c	0.6
