sentence1;sentence2;similarity
Hai người đàn ông đang chơi trò chơi ô tô;Trong một cuộc đua xe máy, một đối thủ đuổi theo đối thủ;0,40
Hai người đàn ông đang chơi trò chơi ô tô;Một chiếc ô tô đang tăng tốc trong một cuộc đua ô tô;0,47
Hai người đàn ông đang chơi trò chơi ô tô;Hai người chơi lái ô tô;0,60
Hai người đàn ông đang chơi trò chơi ô tô;Một người đàn ông bị treo cổ trên một chiếc ô tô đang di chuyển;0,20
Trong một cuộc đua xe máy, một đối thủ đuổi theo đối thủ;Một chiếc ô tô đang tăng tốc trong một cuộc đua ô tô;0,40
Trong một cuộc đua xe máy, một đối thủ đuổi theo đối thủ;Hai người chơi lái ô tô;0,20
Trong một cuộc đua xe máy, một đối thủ đuổi theo đối thủ;Một người đàn ông bị treo cổ trên một chiếc ô tô đang di chuyển;0,27
Một chiếc ô tô đang tăng tốc trong một cuộc đua ô tô;Hai người chơi lái ô tô;0,20
Một chiếc ô tô đang tăng tốc trong một cuộc đua ô tô;Một người đàn ông bị treo cổ trên một chiếc ô tô đang di chuyển;0,20
Hai người chơi lái ô tô;Một người đàn ông bị treo cổ trên một chiếc ô tô đang di chuyển;0,40
Một người đàn ông làm mới một chiếc ô tô;Một thợ sửa ô tô đang xịt nước vào kính chắn gió ô tô;0,67
Một người đàn ông làm mới một chiếc ô tô;Một người đàn ông đang sửa xe;0,87
Một người đàn ông làm mới một chiếc ô tô;Một người đang rửa xe;0,53
Một người đàn ông làm mới một chiếc ô tô;Một người đàn ông đang rửa một chiếc xe nâng;0,53
Một thợ sửa ô tô đang xịt nước vào kính chắn gió ô tô;Một người đàn ông đang sửa xe;0,60
Một thợ sửa ô tô đang xịt nước vào kính chắn gió ô tô;Một người đang rửa xe;0,73
Một thợ sửa ô tô đang xịt nước vào kính chắn gió ô tô;Một người đàn ông đang rửa một chiếc xe nâng;0,67
Một người đàn ông đang sửa xe;Một người đang rửa xe;0,47
Một người đàn ông đang sửa xe;Một người đàn ông đang rửa một chiếc xe nâng;0,47
Một người đang rửa xe;Một người đàn ông đang rửa một chiếc xe nâng;0,80
Một người chơi giơ gậy của mình lên;Một cầu thủ bóng chày đang cầm một cây gậy đen;0,60
Một người chơi giơ gậy của mình lên;Một cầu thủ đang chơi bóng chày;0,67
Một người chơi giơ gậy của mình lên;Một người chơi cầm gậy;0,80
Một người chơi giơ gậy của mình lên;Người huýt sáo đứng giữa sân vận động phát tín hiệu;0,13
Một cầu thủ bóng chày đang cầm một cây gậy đen;Một cầu thủ đang chơi bóng chày;0,53
Một cầu thủ bóng chày đang cầm một cây gậy đen;Một người chơi cầm gậy;0,73
Một cầu thủ bóng chày đang cầm một cây gậy đen;Người huýt sáo đứng giữa sân vận động phát tín hiệu;0,20
Một cầu thủ đang chơi bóng chày;Một người chơi cầm gậy;0,53
Một cầu thủ đang chơi bóng chày;Người huýt sáo đứng giữa sân vận động phát tín hiệu;0,20
Một người chơi cầm gậy;Người huýt sáo đứng giữa sân vận động phát tín hiệu;0,20
Một người đàn ông leo lên một ngọn núi;Một người đàn ông leo núi bằng dây an toàn;0,73
Một người đàn ông leo lên một ngọn núi;Một người đàn ông leo lên một ngọn núi;1
Một người đàn ông leo lên một ngọn núi;Một người đàn ông leo lên một ngọn núi;1
Một người đàn ông leo lên một ngọn núi;Một người ngực trần leo núi;0,80
Một người đàn ông leo núi bằng dây an toàn;Một người đàn ông leo lên một ngọn núi;0,80
Một người đàn ông leo núi bằng dây an toàn;Một người đàn ông leo lên một ngọn núi;0,80
Một người đàn ông leo núi bằng dây an toàn;Một người ngực trần leo núi;0,67
Một người đàn ông leo lên một ngọn núi;Một người đàn ông leo lên một ngọn núi;0,93
Một người đàn ông leo lên một ngọn núi;Một người ngực trần leo núi;0,80
Một người đàn ông leo lên một ngọn núi;Một người ngực trần leo núi;0,80
Một tay đua xe máy;Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh trắng;0,73
Một tay đua xe máy;Một chiếc xe máy đang tăng tốc trong một cuộc đua xe máy;0,73
Một tay đua xe máy;Một người đàn ông đi xe máy;0,73
Một tay đua xe máy;Một người đi xe máy rẽ trái;0,47
Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh trắng;Một chiếc xe máy đang tăng tốc trong một cuộc đua xe máy;0,67
Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh trắng;Một người đàn ông đi xe máy;0,73
Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh trắng;Một người đi xe máy rẽ trái;0,53
Một chiếc xe máy đang tăng tốc trong một cuộc đua xe máy;Một người đàn ông đi xe máy;0,73
Một chiếc xe máy đang tăng tốc trong một cuộc đua xe máy;Một người đi xe máy rẽ trái;0,53
Một người đàn ông đi xe máy;Một người đi xe máy rẽ trái;0,60
Một tay đua xe máy;Một thí sinh đội mũ bảo hiểm màu cam và đen lái chiếc xe máy màu đỏ;0,60
Một tay đua xe máy;Một chiếc ô tô màu đỏ đang chạy nhanh;0,20
Một tay đua xe máy;Một người đàn ông đi xe máy;0,73
Một tay đua xe máy;Một người đi xe máy rẽ phải;0,60
Một thí sinh đội mũ bảo hiểm màu cam và đen lái chiếc xe máy màu đỏ;Một chiếc ô tô màu đỏ đang chạy nhanh;0,13
Một thí sinh đội mũ bảo hiểm màu cam và đen lái chiếc xe máy màu đỏ;Một người đàn ông đi xe máy;0,53
Một thí sinh đội mũ bảo hiểm màu cam và đen lái chiếc xe máy màu đỏ;Một người đi xe máy rẽ phải;0,33
Một chiếc ô tô màu đỏ đang chạy nhanh;Một người đàn ông đi xe máy;0,13
Một chiếc ô tô màu đỏ đang chạy nhanh;Một người đi xe máy rẽ phải;0,07
Một người đàn ông đi xe máy;Một người đi xe máy rẽ phải;0,53
Một tay đua xe máy;Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh;0,60
Một tay đua xe máy;Một ô tô đang chạy quanh một khúc cua;0,07
Một tay đua xe máy;Một người đàn ông đi xe máy;0,67
Một tay đua xe máy;Một chiếc xe máy màu xanh đang rẽ;0,27
Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh;Một ô tô đang chạy quanh một khúc cua;0,13
Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh;Một người đàn ông đi xe máy;0,60
Một thí sinh đội mũ bảo hiểm màu đỏ đi xe máy màu xanh;Một chiếc xe máy màu xanh đang rẽ;0,47
Một ô tô đang chạy quanh một khúc cua;Một người đàn ông đi xe máy;0,33
Một ô tô đang chạy quanh một khúc cua;Một chiếc xe máy màu xanh đang rẽ;0,40
Một người đàn ông đi xe máy;Một chiếc xe máy màu xanh đang rẽ;0,40
Hai con vật chạm vào nhau trên bờ sông;Hai người đào mộ giằng co giữa dòng nước chảy xiết;0,47
Hai con vật chạm vào nhau trên bờ sông;Hai loài bò sát đang đánh nhau;0,33
Hai con vật chạm vào nhau trên bờ sông;Hai con cá sấu ở trong hồ;0,40
Hai con vật chạm vào nhau trên bờ sông;Hai con cá sấu đánh nhau bên bờ suối;0,40
Hai người đào mộ giằng co giữa dòng nước chảy xiết;Hai loài bò sát đang đánh nhau;0,60
Hai người đào mộ giằng co giữa dòng nước chảy xiết;Hai con cá sấu ở trong hồ;0,27
Hai người đào mộ giằng co giữa dòng nước chảy xiết;Hai con cá sấu đánh nhau bên bờ suối;0,53
Hai loài bò sát đang đánh nhau;Hai con cá sấu ở trong hồ;0,40
Hai loài bò sát đang đánh nhau;Hai con cá sấu đánh nhau bên bờ suối;0,60
Hai con cá sấu ở trong hồ;Hai con cá sấu đánh nhau bên bờ suối;0,60
Người đàn ông vui vẻ nhảy trên con đường đầy nước;Một người đàn ông mặc áo khoác xanh và đi ủng nhảy xuống mương trên đường.;0,67
Người đàn ông vui vẻ nhảy trên con đường đầy nước;Một người đàn ông nhảy trên mặt nước;0,80
Người đàn ông vui vẻ nhảy trên con đường đầy nước;Một người đàn ông vui vẻ nhảy trên mặt nước;0,80
Người đàn ông vui vẻ nhảy trên con đường đầy nước;Người đàn ông nhảy từ hố nước xuống đường khi đang mưa;0,53
